ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
ORCL,Period3,best1bin,1.33993450498905E-06,0.985671905092119,9.35685198406695E-06,0.255056842091016,0.36964442926287,0.299987119975966,0.0000015,0.658766622045421,0.00001,0.25,0.3,1.08316208452834,-19.9018991181134,17.7620315037079,-5.04298257111001,23.6365488737235,3112539.65132879,5021.53672096584,1522.83226060867,13805,880,ok,
PAYX,Period1,best1bin,1.26215905186643E-06,0.989372347938659,6.17785954046269E-06,0.251279844641714,0.394323516373505,0.299999569535121,0.0000015,0.99,0.00001,0.25,0.3,1.0942989713939,-18.364029276371,8.84550436388717,,,1442682.28700114,-695.109796320461,267.446572780609,1706,288,ok,
PAYX,Period2,best1bin,1.22473761899049E-06,0.969397124689199,7.85046706728681E-06,0.285220319197968,0.302131908919642,0.299997458281976,0.000001,0.5,0.00001,0.25,0.3,1.05468720779653,-18.721481263937,12.8697903800572,-4.62162914189359,22.936638062961,1725005.21558143,4067.62500373532,554.561723947525,4098,730,ok,
PAYX,Period3,best1bin,1.22458358622063E-06,0.988952567297319,9.22298195534759E-06,0.385352373827077,0.333784307907746,0.299996579829948,0.000001,0.945577276367373,0.00001,0.25,0.3,1.11262554198173,-16.4943782926238,10.6025246219697,,,566475.520286074,-416.592391431064,221.284430742264,1668,259,ok,
PCAR,Period1,best1bin,0.000001,0.99,0.00001,0.25,0.3,0.1,0.000001,0.99,0.00001,0.25,0.3,1.06423681579853,,,,,,,6086.75805091858,1725,290,ok,
PCAR,Period2,best1bin,1.488664956293E-06,0.988563398519677,6.88440403131434E-06,0.25394822265682,0.310309025293604,0.299999482465335,1.27412899891635E-06,0.989798768846049,8.49614956540977E-06,0.25,0.3,1.06678910001537,-16.4750605208129,13.5900000310317,,,561030.337401062,-1971.76782225476,491.494755744934,3020,657,ok,
PCAR,Period3,best1bin,1.15432828057137E-06,0.988988652037592,9.05772712415185E-06,0.494806837068275,0.32899877224805,0.299999029925015,0.0000015,0.5,0.00001,0.25,0.3,1.15376451327502,-15.4675449702466,9.35785675776042,-5.5829957052578,14.9402142903759,339005.796529441,6578.07779109795,276.175414085388,1059,226,ok,
PFE,Period1,best1bin,1.45932086147056E-06,0.989442833546111,4.22191067413623E-06,0.355349523138677,0.3841239908585,0.299997753424947,0.0000015,0.967089013488714,7.63249289308264E-06,0.25,0.3,1.11929515536504,-22.5247853414852,9.33258234384894,,,11552271.8290112,-302.865276652236,717.784453630447,4322,297,ok,
PFE,Period2,best1bin,1.15156731761089E-06,0.987757915317592,4.27669875942226E-06,0.474628567671525,0.357124253643265,0.299995751443795,0.0000015,0.911500617042111,3.89113360868897E-06,0.25,0.3,1.15259520608163,-23.8659335456193,16.1820803710049,,,22588845.3273265,-3641.76599091587,2795.44779896736,22239,1689,ok,
PFE,Period3,best1bin,1.15838357529339E-06,0.968279649595792,7.50318323156387E-06,0.263125672434788,0.344157525379868,0.299995815088655,0.0000015,0.802997624765863,0.00001,0.25,0.3,1.06077566037727,-25.3294339588907,15.1462682249041,,,46955785.3394837,-464.133741689222,2240.59493565559,24225,876,ok,
PH,Period1,best1bin,1.16625059459252E-06,0.98736106444405,7.85601766136577E-06,0.430113892898723,0.301132783062191,0.299997920058593,0.0000015,0.8828877408473,0.00001,0.25,0.3,1.11828475154696,-20.4127502658065,3.57136832556782,-3.85413274143346,17.2985848933572,4018322.692696,2771.28494509035,129.349571466446,895,251,ok,
PH,Period2,best1bin,1.06468352442165E-06,0.988071317695038,8.30944464078823E-06,0.267883817223801,0.320712284727925,0.299995082346277,0.0000015,0.985480195985887,0.00001,0.25,0.3,1.07280149050399,-16.6356346159465,12.9811064437043,,,607931.389262709,-1853.66248678974,494.372198581696,2761,630,ok,
PH,Period3,best1bin,1.38488505122958E-06,0.989127830469295,9.80125261039153E-06,0.462709492114299,0.475523703806677,0.299998598642432,0.0000015,0.955196619935396,0.00001,0.25,0.3,1.1910485851054,-14.6543938193687,9.434759037902,,,225753.033740345,-258.643492160854,181.065814495087,914,234,ok,
PHM,Period1,best1bin,1.27087927790265E-06,0.987349841469898,9.85940751964062E-06,0.378026555613566,0.310150121358836,0.299997147420685,0.0000015,0.958234572028388,0.00001,0.25,0.3,1.10179711566033,-19.9784457286683,8.95431330347527,-3.44292589491416,17.8980424752831,3233975.89131503,2256.25795414337,447.627382040024,2408,259,ok,
PHM,Period2,best1bin,1.30303002165864E-06,0.989587826881471,8.19636312513129E-06,0.287138062018936,0.303216884259806,0.299999920983722,0.0000015,0.960487553630248,2.981572722487E-06,0.25,0.3,1.07409162213523,-20.1067256914038,14.0284146511419,-2.7751674894551,27.5359662482803,3448199.76544665,1615.79721384928,1104.95616579056,6816,1155,ok,
PHM,Period3,best1bin,1.25086082818192E-06,0.989790132790558,9.88074188864396E-06,0.321796874781322,0.390230473769704,0.299998136717286,0.0000015,0.83631412589871,0.00001,0.25,0.3,1.11153837466203,-15.4302633485034,14.0766234204597,-4.34645572912831,20.4928515842292,332744.988155356,3544.76754636624,510.543169498444,2701,464,ok,
PYPL,Period1,,,,,,,,,,,,,,,,,,,,,,,failed,division by zero
PYPL,Period2,best1bin,1.47190923660085E-06,0.989773299522721,7.87768826952611E-06,0.3154351198481,0.331907485061015,0.299996944034683,0.0000015,0.754023217491628,0.00001,0.25,0.3,1.09055631582483,-18.8946830563462,19.1040361763388,-3.54653846811214,25.6737820026766,1881051.57752007,2376.22704613808,2189.06208229065,14761,963,ok,
PYPL,Period3,best1bin,1.15680242404991E-06,0.983822042888399,8.40897606248198E-06,0.252243819412635,0.339759588737495,0.299996239847632,0.0000015,0.746413109447428,0.00001,0.25,0.3,1.07096654229537,-23.1754772749505,18.6006814158746,-6.37449012570934,22.3458115779211,15994230.7567198,9771.69346182962,4361.36689543724,31421,886,ok,
QCOM,Period1,best1bin,1.26133806440087E-06,0.989433595672363,9.97805817449145E-06,0.253099379083482,0.540185230191181,0.2999843911224,0.0000015,0.91634192412608,0.00001,0.25,0.3,1.15535198920305,-22.0991251819829,12.0579739134677,-2.25424474482832,19.1786794482383,9337625.89432982,1245.28832995868,950.739929437637,6846,263,ok,
QCOM,Period2,best1bin,1.13896509582867E-06,0.988644644701437,4.86583639068942E-06,0.250187075872148,0.353910960507717,0.299990939562983,0.0000015,0.976664545567711,5.78378018714678E-06,0.25,0.3,1.07947430466073,-23.6620788706636,17.5651447262759,,,20399877.1213244,-5422.65044768458,2769.39118266106,28154,1730,ok,
QCOM,Period3,best1bin,1.1480467638188E-06,0.97636778740601,6.46926662098046E-06,0.377929156225495,0.329241077111932,0.299999438343302,0.0000015,0.72073010962553,0.00001,0.25,0.3,1.09750817323172,-21.3051638730079,18.6578197650316,-5.80410084320627,23.0501349930516,6278125.05975851,7347.0225992808,3508.2125852108,21864,906,ok,
SBUX,Period1,best1bin,1.44667787855417E-06,0.989080335196196,6.81802842433884E-06,0.400121647142743,0.457581289682619,0.299996135556689,0.0000015,0.956059460821594,0.00001,0.25,0.3,1.16092974753007,-20.6692686609085,11.0887850922243,-1.20123873850821,20.0463425324423,4568220.64035097,735.550625628117,623.790162801743,4237,255,ok,
