S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
107.883894716131,1.06014969669584,0.05,0.554908036361359,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.48918354554087
107.883894716131,0.839013440699781,0.05,0.785124745007371,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,17.3678570142571
107.883894716131,0.839013440699781,0.05,0.785124745007371,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.03525232043091,0.05,0.907942355118476,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.03525232043091,0.05,0.907942355118476,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,3.80315762586758
108.22711925979,0.819489952323651,0.05,0.360198693810835,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.5360824574587
108.22711925979,0.819489952323651,0.05,0.360198693810835,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,0.883384214943537,0.05,0.533512955587029,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.6209904768799
108.22711925979,0.883384214943537,0.05,0.533512955587029,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.00691915353864,0.05,0.952266343433333,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.00691915353864,0.05,0.952266343433333,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.74884005520272
108.22711925979,1.18400692133437,0.05,0.729560844954618,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.18400692133437,0.05,0.729560844954618,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.9145390198814
108.22711925979,1.14804965465088,0.05,0.624049235805304,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.14804965465088,0.05,0.624049235805304,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.0229876302721
108.22711925979,0.923173981049988,0.05,0.567452331374771,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.31465871515782
108.22711925979,0.923173981049988,0.05,0.567452331374771,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,0.970288564207558,0.05,0.833125366445097,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,3.2155831048882
108.22711925979,0.970288564207558,0.05,0.833125366445097,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.09160549691565,0.05,0.605115642094877,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.09160549691565,0.05,0.605115642094877,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,9.91419903954215
108.22711925979,1.14550399422803,0.05,0.356415368704864,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.14550399422803,0.05,0.356415368704864,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.7474781360932
108.22711925979,1.05765741442733,0.05,0.442673640671605,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.22711925979,1.05765741442733,0.05,0.442673640671605,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.24009586743824
108.33444505748,0.914421528664206,0.05,0.9622950098671,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,9.27109620103067
108.33444505748,0.914421528664206,0.05,0.9622950098671,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
